,motorSelectiveStop,stopSignal,ANT,discountFix,stroop,CCTHot,WATT3,DPX,twoByTwo
constant,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
non_steady_state_outlier00,"[1.0107359721031088, 0.00031388741773260594]","[1.0150790098177989, 0.0008346163543539813]","[1.0273270874242637, 0.001350695918653405]","[1.020351926137907, 0.0007717007181911612]","[1.039870832312489, 0.006610773242729908]","[1.0230618574209847, 0.0006752033189948436]","[1.0149735651990606, 0.002971519400115993]","[1.015210271824063, 0.0015845030711307412]","[1.017882610165805, 0.002224094045618802]"
non_steady_state_outlier01,"[1.0107359721031088, 0.00031388741773263814]","[1.0151332584206831, 0.0007822234351024879]","[1.0281662548430952, 0.0007899134930576812]","[1.020500779102538, 0.0008398812481285979]","[1.04260476829647, 0.007939970876873103]","[1.0223866541019897, 0.0]","[1.0128783712888807, 0.0002745519151909903]","[1.0144277545609115, 0.0002624205774609534]","[1.0183622207355476, 0.0018097435062890692]"
non_steady_state_outlier02,"[1.0110334440574025, 0.0]","[1.0151332584206831, 0.0007822234351026914]","[1.028956168336153, 0.0]","[1.020500779102538, 0.0008398812481285394]","[1.0469679673483514, 0.006119819310190122]",,"[1.0128783712888807, 0.0002745519151909903]","[1.014690175138372, 0.0]","[1.0183622207355476, 0.0018097435062890748]"
non_steady_state_outlier03,"[1.0110334440574025, 0.0]","[1.014956444368333, 0.0007800806576804292]","[1.028956168336153, 0.0]","[1.0210932643019799, 7.060192464702908e-05]","[1.0469679673483514, 0.006119819310190122]",,"[1.012603819373689, 0.0]",,"[1.017810632688711, 0.002076875204766845]"
non_steady_state_outlier04,"[1.011033444055987, 0.0]","[1.015063991803573, 0.0]",,"[1.0210932643018285, 7.060192472374549e-05]","[1.040848148038161, 0.0]",,"[1.0126038193736897, 0.0]",,"[1.0186131014347244, 0.0021303163284536186]"
stop_success-go,,"[12.822031115792628, 32.48579925422108]",,,,,,,
stop_failure-go,,"[1.2489027628495388, 0.13750462088662396]",,,,,,,
go,,"[25.686526976539014, 39.3020305496633]",,,,,,,
go_derivative,,"[16.40833189332766, 5.753653353615382]",,,,,,,
stop_success,,"[1.4626268548065895, 0.13149698473890573]",,,,,,,
stop_success_derivative,,"[2.7240095505123247, 0.23767773804952586]",,,,,,,
stop_failure,,"[8.813013895989844, 7.879842996286823]",,,,,,,
stop_failure_derivative,,"[8.7897557258158, 3.126871737727491]",,,,,,,
non_steady_state_outlier05,,"[1.0150378429018612, 0.0]",,"[1.0210756579032298, 7.377870388824981e-05]","[1.0408479136343651, 0.0]",,"[1.0126038193736897, 0.0]",,"[1.0207434082899167, 0.0]"
non_steady_state_outlier06,,"[1.0150254906688336, 0.0]",,"[1.0206403239848911, 0.00013584631561902594]",,,"[1.0126038193736897, 0.0]",,
non_steady_state_outlier07,,"[1.0195720130069357, 0.0]",,"[1.020075104049522, 0.0004937606080239743]",,,,,
cue_parametric,,,"[0, 0]",,,,,,
congruency_parametric,,,"[1.1749562328390681, 0.08482123926760637]",,,,,,
cue_parametric_derivative,,,"[0, 0]",,,,,,
congruency_parametric_derivative,,,"[1.0852006202393099, 0.06619992928154962]",,,,,,
interaction,,,"[0, 0]",,,,,,
interaction_derivative,,,"[0, 0]",,,,,,
task,,,"[5853.925202088789, 6787.419868439315]","[2.469670041986422, 0.8894858855803154]",,"[1.8254754000098485, 0.7689780571545831]",,,
task_derivative,,,"[20.251833782317327, 9.180105506207466]","[1.991422998662149, 0.6725399603683119]",,"[1.0991172111404552, 0.04622636567387202]",,,
choice,,,,"[1.2353871060771175, 0.20228596109716876]",,,,,
choice_derivative,,,,"[1.0638035399855614, 0.07372799073824841]",,,,,
non_steady_state_outlier08,,,,"[1.0207890309202483, 0.0011625163347542822]",,,,,
non_steady_state_outlier09,,,,"[1.0224860531004176, 0.0]",,,,,
cosine09,,,,"[1.035264162365213, 0.0013789271569193406]",,"[1.1856742826192377, 0.08471372383839958]",,"[1.0501771361258063, 0.021583290645810924]",
congruent,,,,,"[8.80911060398062, 3.907832677052759]",,,,
congruent_derivative,,,,,"[12.653687198309798, 3.22595095281891]",,,,
incongruent,,,,,"[10.362444482939177, 4.150757764702871]",,,,
incongruent_derivative,,,,,"[14.395838599224351, 3.8385611339285446]",,,,
incongruent - congruent,,,,,"[1.2703245941039438, 0.24160004693291187]",,,,
trial_loss,,,,,,"[4.226622780017662, 1.9969023539656534]",,,
trial_gain,,,,,,"[1.6484726337937827, 0.2996777188202193]",,,
positive_draw,,,,,,"[1.4879413683020402, 0.17324311025613048]",,,
negative_draw,,,,,,"[4.245862346819839, 2.040012851233796]",,,
positive_draw_derivative,,,,,,"[1.2136439932044587, 0.09535360124966347]",,,
negative_draw_derivative,,,,,,"[2.31577401968114, 0.8762949980233545]",,,
trial_gain_derivative,,,,,,"[1.2471518177915588, 0.09354186021381551]",,,
trial_loss_derivative,,,,,,"[2.359853784685438, 0.8976847658584735]",,,
planning_event,,,,,,,"[3.5131526804043802, 2.6375148677720492]",,
planning_parametric,,,,,,,"[7.158153750309725, 7.168212094872514]",,
acting_event,,,,,,,"[15.121084001820549, 13.677963824742552]",,
acting_parametric,,,,,,,"[7.1413440455222705, 7.479863260052345]",,
feedback,,,,,,,"[12.526148126129895, 9.75997798720419]",,
.5*planning_event + .5*acting_event,,,,,,,"[10.142014103905975, 6.99875458653654]",,
.5*planning_parametric + .5*acting_parametric,,,,,,,"[1.58849782578642, 0.11433211037434864]",,
planning_event_derivative,,,,,,,"[2.3136514616076282, 0.45263187022448054]",,
planning_parametric_derivative,,,,,,,"[2.4392975481291486, 0.9458540503109113]",,
acting_event_derivative,,,,,,,"[8.963193785739058, 4.355715228314667]",,
acting_parametric_derivative,,,,,,,"[2.736035804101761, 1.0071751751445306]",,
feedback_derivative,,,,,,,"[6.820582087019896, 3.6544089061298437]",,
acting_event_practice,,,,,,,"[31.08885918426469, 70.22486941085539]",,
acting_event_practice_derivative,,,,,,,"[5.799020117196982, 4.1180593484408]",,
acting_parametric_practice,,,,,,,"[1.394159801781213, 0.3933926798362568]",,
acting_parametric_practice_derivative,,,,,,,"[1.1619184179222817, 0.15630842187539684]",,
feedback_practice,,,,,,,"[32.0124660448058, 69.54498379053162]",,
feedback_practice_derivative,,,,,,,"[3.320919595710695, 2.7391221206570653]",,
AX,,,,,,,,"[14.77041292855912, 8.378031345044331]",
AX_derivative,,,,,,,,"[8.29567949358309, 4.031143028204093]",
AY,,,,,,,,"[8.628649072134376, 4.546643945131702]",
AY_derivative,,,,,,,,"[4.933842465495253, 2.122958220718928]",
BX,,,,,,,,"[6.344175384428005, 3.836494514308325]",
BX_derivative,,,,,,,,"[3.6923901079373276, 1.9915366373059349]",
BY,,,,,,,,"[6.767829026133951, 3.8487321319761545]",
BY_derivative,,,,,,,,"[3.916637562987829, 1.9421596826860272]",
AY-BY,,,,,,,,"[1.395056172022237, 0.3219420129215752]",
BX-BY,,,,,,,,"[1.092783436105173, 0.03274127491018505]",
cosine10,,,,,,,,"[1.0523883077104896, 0.0028459925306693057]",
task_switch_900,,,,,,,,,"[5.804538881139686, 1.5463081254529023]"
task_switch_900_derivative,,,,,,,,,"[8.454815939067338, 1.9754384173183526]"
task_stay_cue_switch_900,,,,,,,,,"[3.693819098390016, 1.3873742781976441]"
task_stay_cue_switch_900_derivative,,,,,,,,,"[5.109899877574218, 1.5975774340400979]"
cue_stay_900,,,,,,,,,"[3.606586262672697, 1.072099649638748]"
cue_stay_900_derivative,,,,,,,,,"[5.116876866996559, 1.4608992316780198]"
task_switch_100,,,,,,,,,"[7.85442937815941, 2.804685131878443]"
task_switch_100_derivative,,,,,,,,,"[9.656490011065953, 2.832099363467537]"
task_stay_cue_switch_100,,,,,,,,,"[4.352628106995276, 1.5345600692780836]"
task_stay_cue_switch_100_derivative,,,,,,,,,"[5.5669083828820956, 1.7739122322607561]"
cue_stay_100,,,,,,,,,"[4.186656430418166, 1.305968252878773]"
cue_stay_100_derivative,,,,,,,,,"[5.319687450537082, 1.6988110018750067]"
task_switch_900-task_stay_cue_switch_900,,,,,,,,,"[1.2780485381700135, 0.14493058023852967]"
task_stay_cue_switch_900-cue_stay_900,,,,,,,,,"[1.2383037207253462, 0.0951901126833949]"
task_switch_100-task_stay_cue_switch_100,,,,,,,,,"[1.2875135167854008, 0.1223718320023231]"
task_stay_cue_switch_100-cue_stay_100,,,,,,,,,"[1.2352227735409946, 0.08430872047471397]"
