,motorSelectiveStop,stopSignal,ANT,discountFix,stroop,CCTHot,WATT3,DPX,twoByTwo
constant,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
non_steady_state_outlier00,"[1.010721985655631, 0.0003255410238191375]","[1.0150697895537426, 0.0008106166299586315]","[1.0273528889730028, 0.0013573149187941507]","[1.0198151527856765, 0.0013557172649180532]","[1.0398447490860254, 0.006620510377594821]","[1.0230618574209847, 0.0006752033189948436]","[1.0149735651990606, 0.002971519400115993]","[1.0151555165188821, 0.0016214318838745664]","[1.0178877975529734, 0.002224858766988318]"
non_steady_state_outlier01,"[1.010721985655631, 0.0003255410238190388]","[1.015132201196958, 0.0007548294008831445]","[1.0282042339868642, 0.0007675224330877528]","[1.0199807582098994, 0.0015300082059908756]","[1.042496547959491, 0.008022390559122674]","[1.0223866541019897, 0.0]","[1.0128783712888807, 0.0002745519151909903]","[1.014369723040729, 0.0002865026224073697]","[1.0183655112770424, 0.0018180661612799745]"
non_steady_state_outlier02,"[1.0110711435464306, 0.0]","[1.015132201196958, 0.0007548294008831199]","[1.0289717564199516, 0.0]","[1.0199807582098996, 0.0015300082059911896]","[1.0469558581619363, 0.006073037376778445]",,"[1.0128783712888807, 0.0002745519151909903]","[1.014656225663136, 0.0]","[1.0183655112770424, 0.0018180661612800253]"
non_steady_state_outlier03,"[1.0110711435464308, 0.0]","[1.0149865868161538, 0.0007785830341474637]","[1.0289717564199516, 0.0]","[1.021062623741253, 9.411790998115066e-06]","[1.0469558581619363, 0.006073037376778556]",,"[1.012603819373689, 0.0]",,"[1.017804310791642, 0.0020819783514586217]"
non_steady_state_outlier04,"[1.0110711435449875, 0.0]","[1.015061262519305, 0.0]",,"[1.0210626237409899, 9.41179080449217e-06]","[1.0408828207851577, 0.0]",,"[1.0126038193736897, 0.0]",,"[1.0186145122256562, 0.002129007208273137]"
stop_success-go,,"[12.960765818542074, 33.44711605315074]",,,,,,,
stop_failure-go,,"[1.255790703351622, 0.14016198207395902]",,,,,,,
go,,"[25.979294527079738, 40.413786189680586]",,,,,,,
go_derivative,,"[17.83177874937115, 6.553117404254291]",,,,,,,
stop_success,,"[1.453117589972079, 0.12936773360740936]",,,,,,,
stop_success_derivative,,"[2.7256136179495267, 0.23899315740716673]",,,,,,,
stop_failure,,"[8.93412111598839, 8.11027648975101]",,,,,,,
stop_failure_derivative,,"[9.557113230275554, 3.6693773298531442]",,,,,,,
non_steady_state_outlier05,,"[1.015035484944837, 0.0]",,"[1.0210401948169658, 7.180460839251168e-07]","[1.040882589697256, 0.0]",,"[1.0126038193736897, 0.0]",,"[1.0207435099611903, 0.0]"
non_steady_state_outlier06,,"[1.015030070639202, 0.0]",,"[1.020652857414388, 0.00016341560577803893]",,,"[1.0126038193736897, 0.0]",,
non_steady_state_outlier07,,"[1.0196045211706244, 0.0]",,"[1.021468542927285, 0.0008302525159599172]",,,,,
cue_parametric,,,"[0, 0]",,,,,,
cue_parametric_derivative,,,"[0, 0]",,,,,,
congruency_parametric,,,"[1.1752530281483553, 0.08552818672883361]",,,,,,
congruency_parametric_derivative,,,"[1.0860667688647065, 0.0698978531846496]",,,,,,
interaction,,,"[0, 0]",,,,,,
interaction_derivative,,,"[0, 0]",,,,,,
task,,,"[5877.240734654961, 6753.5533856888205]","[2.4941159674020668, 0.8967165913684744]",,"[1.8254754000098485, 0.7689780571545831]",,,
task_derivative,,,"[21.39223272454142, 9.47512883845689]","[2.4991605189411197, 0.7699653720873142]",,"[1.0991172111404552, 0.04622636567387202]",,,
choice,,,,"[1.2344416512496763, 0.1897625687824161]",,,,,
choice_derivative,,,,"[1.0936793100371, 0.1107948211164183]",,,,,
non_steady_state_outlier08,,,,"[1.0248375395079194, 0.0018164709501206078]",,,,,
non_steady_state_outlier09,,,,"[1.026252919285512, 0.0]",,,,,
cosine09,,,,"[1.0342178688296029, 0.00013953527001275834]",,"[1.1856742826192377, 0.08471372383839958]",,"[1.0502175429322353, 0.02170370986953013]",
incongruent - congruent,,,,,"[1.2724225277489265, 0.24293802610759557]",,,,
congruent,,,,,"[8.861821701001013, 3.9354605724722003]",,,,
congruent_derivative,,,,,"[12.761001994281333, 3.395791118242026]",,,,
incongruent,,,,,"[10.423214201399418, 4.170402074789155]",,,,
incongruent_derivative,,,,,"[14.564372771962214, 4.050839454482438]",,,,
positive_draw,,,,,,"[1.4879413683020402, 0.17324311025613048]",,,
positive_draw_derivative,,,,,,"[1.2136439932044587, 0.09535360124966347]",,,
negative_draw,,,,,,"[4.245862346819839, 2.040012851233796]",,,
negative_draw_derivative,,,,,,"[2.31577401968114, 0.8762949980233545]",,,
trial_gain,,,,,,"[1.6484726337937827, 0.2996777188202193]",,,
trial_gain_derivative,,,,,,"[1.2471518177915588, 0.09354186021381551]",,,
trial_loss,,,,,,"[4.226622780017662, 1.9969023539656534]",,,
trial_loss_derivative,,,,,,"[2.359853784685438, 0.8976847658584735]",,,
planning_event,,,,,,,"[3.5131526804043802, 2.6375148677720492]",,
planning_event_derivative,,,,,,,"[2.3136514616076282, 0.45263187022448054]",,
planning_parametric,,,,,,,"[7.158153750309725, 7.168212094872514]",,
planning_parametric_derivative,,,,,,,"[2.4392975481291486, 0.9458540503109113]",,
acting_event,,,,,,,"[15.121084001820549, 13.677963824742552]",,
acting_event_derivative,,,,,,,"[8.963193785739058, 4.355715228314667]",,
acting_parametric,,,,,,,"[7.1413440455222705, 7.479863260052345]",,
acting_parametric_derivative,,,,,,,"[2.736035804101761, 1.0071751751445306]",,
feedback,,,,,,,"[12.526148126129895, 9.75997798720419]",,
feedback_derivative,,,,,,,"[6.820582087019896, 3.6544089061298437]",,
acting_event_practice,,,,,,,"[31.08885918426469, 70.22486941085539]",,
acting_event_practice_derivative,,,,,,,"[5.799020117196982, 4.1180593484408]",,
acting_parametric_practice,,,,,,,"[1.394159801781213, 0.3933926798362568]",,
acting_parametric_practice_derivative,,,,,,,"[1.1619184179222817, 0.15630842187539684]",,
feedback_practice,,,,,,,"[32.0124660448058, 69.54498379053162]",,
feedback_practice_derivative,,,,,,,"[3.320919595710695, 2.7391221206570653]",,
.5*planning_event + .5*acting_event,,,,,,,"[10.142014103905975, 6.99875458653654]",,
.5*planning_parametric + .5*acting_parametric,,,,,,,"[1.58849782578642, 0.11433211037434864]",,
AX,,,,,,,,"[13.862465534352712, 7.589988571151342]",
AX_derivative,,,,,,,,"[10.27647078840636, 5.599318274487304]",
AY,,,,,,,,"[8.304044493551975, 4.22267208129635]",
AY_derivative,,,,,,,,"[5.997983321347858, 2.994508297840182]",
BX,,,,,,,,"[5.947261240795144, 3.533070870388024]",
BX_derivative,,,,,,,,"[4.361420016122705, 2.553061508179735]",
BY,,,,,,,,"[6.378384803243255, 3.5597651421540224]",
BY_derivative,,,,,,,,"[4.650461483339335, 2.500204575436855]",
AY-BY,,,,,,,,"[1.395816239670297, 0.3235337133885725]",
BX-BY,,,,,,,,"[1.0929398718779466, 0.03287658214851054]",
cosine10,,,,,,,,"[1.0523482450810429, 0.0030493238841700077]",
task_switch_900,,,,,,,,,"[5.837508346731525, 1.5686545299889043]"
task_switch_900_derivative,,,,,,,,,"[8.737026601347235, 2.0431833266501256]"
task_stay_cue_switch_900,,,,,,,,,"[3.7083876838355443, 1.399382755616334]"
task_stay_cue_switch_900_derivative,,,,,,,,,"[5.2658851168770795, 1.664933671742792]"
cue_stay_900,,,,,,,,,"[3.6201895999692786, 1.0858464284562575]"
cue_stay_900_derivative,,,,,,,,,"[5.257842290043938, 1.5226088697040814]"
task_switch_100,,,,,,,,,"[7.891613150441438, 2.8256780977696554]"
task_switch_100_derivative,,,,,,,,,"[10.20952833852325, 3.155016007229845]"
task_stay_cue_switch_100,,,,,,,,,"[4.331588347675962, 1.5182601054514866]"
task_stay_cue_switch_100_derivative,,,,,,,,,"[5.804938519046536, 1.8909531585460164]"
cue_stay_100,,,,,,,,,"[4.169693747740605, 1.3071563425246477]"
cue_stay_100_derivative,,,,,,,,,"[5.545380039082019, 1.8455631192358746]"
task_switch_900-task_stay_cue_switch_900,,,,,,,,,"[1.2756465885291182, 0.1429165326741621]"
task_stay_cue_switch_900-cue_stay_900,,,,,,,,,"[1.2382054882671163, 0.09567315623517064]"
task_switch_100-task_stay_cue_switch_100,,,,,,,,,"[1.2878122033575212, 0.12326090038380494]"
task_stay_cue_switch_100-cue_stay_100,,,,,,,,,"[1.2360899709193522, 0.08448063566441935]"
